seq	score
ENSMUST00000070533	5.359381551597405
ENSMUST00000115538	1.4178627455753647
ENSMUST00000134384	-0.7889118519550619
ENSMUST00000165720	-0.06372069834040579
ENSMUST00000192142	-1.3081849062530717
ENSMUST00000192685	-2.872462555924619
ENSMUST00000044180	-1.4562482052059529
ENSMUST00000140995	1.873677295186484
ENSMUST00000190654	3.0116354923716417
ENSMUST00000088666	-1.1798356984060538
ENSMUST00000057438	0.5902145537682392
ENSMUST00000150509	-0.8951622929844061
ENSMUST00000150870	0.29121387035402024
ENSMUST00000068304	-2.233355744712215
ENSMUST00000027068	0.7551239556570791
ENSMUST00000175681	-5.1762989053276645
ENSMUST00000188371	-0.7604817985852359
ENSMUST00000040695	-2.57559692559861
ENSMUST00000149320	-1.5090304071800131
ENSMUST00000136455	-1.793722816810709
ENSMUST00000065373	-0.4491311679846178
ENSMUST00000026881	1.8591255251964542
ENSMUST00000038382	-1.7283101526469182
ENSMUST00000189400	-1.731961516993429
ENSMUST00000027064	-1.1297164054605506
ENSMUST00000097808	-0.602625248407668
ENSMUST00000027343	-1.163285719234198
ENSMUST00000063663	-0.5221308271146105
ENSMUST00000027338	0.4453836962437945
ENSMUST00000115244	7.188947505051779
ENSMUST00000187714	0.428964521050139
ENSMUST00000189941	0.5896623417360445
ENSMUST00000187117	-0.8889929082505832
ENSMUST00000095062	-0.3691669257851434
ENSMUST00000151309	1.511816809812774
ENSMUST00000202889	-0.006399542457500828
ENSMUST00000115174	-0.3630732032476651
ENSMUST00000189741	2.8937892957209423
ENSMUST00000115161	2.108889331607961
ENSMUST00000097786	-0.1543673779825916
ENSMUST00000027303	-0.2852972957813274
ENSMUST00000052670	-0.3746289042076594
ENSMUST00000047664	0.9471220307598492
ENSMUST00000047534	0.3410709739608236
ENSMUST00000046875	1.289886077126269
ENSMUST00000185614	3.2030306698980504
ENSMUST00000123583	-0.5762548848818496
ENSMUST00000153128	1.3435403287787944
ENSMUST00000097776	-1.1296903832162093
ENSMUST00000193235	0.8964644142732201
ENSMUST00000043951	0.446010599871858
ENSMUST00000027290	-0.8049513492816561
ENSMUST00000027287	-2.2698933388454265
ENSMUST00000192179	3.1004543686465347
ENSMUST00000114925	-0.03449970125444162
ENSMUST00000162875	-1.3166341801608088
ENSMUST00000041621	-0.05492958448357251
ENSMUST00000194747	-0.2732934116855671
ENSMUST00000027249	-0.10226219668730464
ENSMUST00000194552	1.2595840171130472
ENSMUST00000056815	-1.0539137405276893
ENSMUST00000195123	0.2585593993037775
ENSMUST00000053355	-0.4713955058628851
ENSMUST00000054883	-4.149977343699632
ENSMUST00000188621	-2.070629978189189
ENSMUST00000189010	-0.12964315346868474
ENSMUST00000008280	-0.8835405661889454
ENSMUST00000076997	-0.4194432648988329
ENSMUST00000188313	3.0082652491049315
ENSMUST00000141125	3.314541247806234
ENSMUST00000129068	0.9116842246259932
ENSMUST00000027214	-1.2149533771882322
ENSMUST00000160854	-1.7730855160603411
ENSMUST00000147308	0.6880439071463904
ENSMUST00000189749	-2.4936755219542968
ENSMUST00000027131	-1.2531544015147988
ENSMUST00000081851	0.06824980774624799
ENSMUST00000188303	-2.7959024691316468
ENSMUST00000114513	-3.7368840824801453
ENSMUST00000188507	5.616947123180523
ENSMUST00000050567	2.7194619606992245
ENSMUST00000188890	-1.0924354042399087
ENSMUST00000135746	-0.5737393852954641
ENSMUST00000144660	-1.1803356222456396
ENSMUST00000123519	-0.4096095482708732
ENSMUST00000189677	-3.7805330386059826
ENSMUST00000097741	-0.14194490409866664
ENSMUST00000041638	-0.01093194855527851
ENSMUST00000097739	-6.273940958081907
ENSMUST00000027127	-0.6645281173995432
ENSMUST00000027125	-5.947176376370505
ENSMUST00000075242	-0.17343040095651213
ENSMUST00000162364	-1.6429181505730213
ENSMUST00000061334	0.044569001598511515
ENSMUST00000042986	0.17056354973221344
ENSMUST00000042734	-1.9647130464158908
ENSMUST00000185709	-2.144488146443195
ENSMUST00000163922	0.38272521609327226
ENSMUST00000164963	-0.4821345234800934
ENSMUST00000050552	-1.6058758332795604
ENSMUST00000147258	1.2696037836944416
ENSMUST00000161000	-1.3468286718472031
ENSMUST00000027193	-0.8006266088926659
ENSMUST00000185352	-2.4155442114525805
ENSMUST00000027186	1.7059976816132842
ENSMUST00000123301	0.8136105916496141
ENSMUST00000186794	-0.6008097408771504
ENSMUST00000114275	-0.3918192389715008
ENSMUST00000091374	-1.6075489103404996
ENSMUST00000186044	0.5778624202281286
ENSMUST00000087435	-0.6930956340150337
ENSMUST00000036540	-2.0268469306791173
ENSMUST00000133767	1.0911626343862966
ENSMUST00000148443	-1.7285461631833532
ENSMUST00000189649	-0.6935915836149105
ENSMUST00000129030	-0.6792387157241536
ENSMUST00000063594	-3.967093987768637
ENSMUST00000153992	1.2295646938868172
ENSMUST00000188524	-0.2144517181940873
ENSMUST00000114086	-0.8146503180515762
ENSMUST00000188855	-1.4294772977832322
ENSMUST00000053469	4.084298910044498
ENSMUST00000094898	-1.0056572133671036
ENSMUST00000097713	1.056695483878601
ENSMUST00000097709	-1.8643284437872367
ENSMUST00000081154	0.1233233081918706
ENSMUST00000027083	-1.8105432939656867
ENSMUST00000114013	-0.5719687576825045
ENSMUST00000061620	-0.13046745574642687
ENSMUST00000190404	0.7109581250224304
ENSMUST00000027153	-0.6331453592949957
ENSMUST00000119559	-0.06688827242671239
ENSMUST00000153432	1.2356667670031345
ENSMUST00000159205	-2.036604015335939
ENSMUST00000027393	-1.580721068006502
ENSMUST00000027384	-4.225880221365338
ENSMUST00000048860	4.528008862230318
ENSMUST00000097698	0.3500004469795309
ENSMUST00000027379	-0.4801146263762733
ENSMUST00000047786	-9.7676544814943
ENSMUST00000145868	0.7643749027192639
ENSMUST00000059980	-0.6735781324890199
ENSMUST00000027377	-3.925723584102286
ENSMUST00000113820	-2.441201613200477
ENSMUST00000178235	-1.9481283803764533
ENSMUST00000152603	6.486825363754016
ENSMUST00000087225	3.7731278998657016
ENSMUST00000141175	0.6594360671215487
ENSMUST00000191058	-0.9191555795045712
ENSMUST00000130112	-0.4822944184769703
ENSMUST00000132081	-1.5354962547000357
ENSMUST00000160379	-0.054620758080014126
ENSMUST00000139950	-0.2592857758604588
ENSMUST00000190240	0.990058296826129
ENSMUST00000161106	0.6905164963620811
ENSMUST00000187601	-0.09098225941804797
ENSMUST00000079464	-0.059999761155420876
ENSMUST00000188346	-0.652437067554588
ENSMUST00000027404	-10.0
ENSMUST00000143730	0.08632822346217575
ENSMUST00000138683	1.4926879254734668
ENSMUST00000050899	0.4612750422421248
ENSMUST00000145516	2.7849811140268668
ENSMUST00000036172	1.954238113594528
ENSMUST00000189529	1.0331159231957323
